"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"HSMMSingleCell","HSMMSingleCell","/usr/local/lib/R/site-library","1.30.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"htmlTable","htmlTable","/usr/local/lib/R/site-library","2.4.3",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.5.0"
"htmltools","htmltools","/usr/local/lib/R/site-library","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"htmlwidgets","htmlwidgets","/usr/local/lib/R/site-library","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"httpuv","httpuv","/usr/local/lib/R/site-library","1.6.16",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, jsonlite, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"httr","httr","/usr/local/lib/R/site-library","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"httr2","httr2","/usr/local/lib/R/site-library","1.2.1",NA,"R (>= 4.1)","cli (>= 3.0.0), curl (>= 6.4.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, later (>= 1.4.0), nanonext, paws.common, promises,
rmarkdown, testthat (>= 3.1.8), tibble, webfakes (>= 1.4.0),
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"hwriter","hwriter","/usr/local/lib/R/site-library","1.3.2.1",NA,"R (>= 2.6.0)",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"no","4.5.0"
"ica","ica","/usr/local/lib/R/site-library","1.0-3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"igraph","igraph","/usr/local/lib/R/site-library","2.2.1",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang (>= 1.1.0), stats, utils, vctrs","cpp11 (>= 0.5.0)","ape (>= 5.7-0.1), callr, decor, digest, igraphdata, knitr,
rgl (>= 1.3.14), rmarkdown, scales, stats4, tcltk, testthat,
vdiffr, withr","graph","GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"infer","infer","/usr/local/lib/R/site-library","1.0.9",NA,"R (>= 4.1)","broom, cli, dplyr (>= 0.7.0), generics, ggplot2 (>= 3.5.2),
glue (>= 1.3.0), grDevices, lifecycle, magrittr, methods,
patchwork, purrr, rlang (>= 0.2.0), tibble, tidyr, vctrs (>=
0.6.5)",NA,"covr, devtools (>= 1.12.0), fs, knitr, nycflights13, parsnip,
rmarkdown, stringr, testthat (>= 3.0.0), vdiffr (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ini","ini","/usr/local/lib/R/site-library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"interp","interp","/usr/local/lib/R/site-library","1.1-6",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr, scatterplot3d, MASS","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"invgamma","invgamma","/usr/local/lib/R/site-library","1.2",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"ipred","ipred","/usr/local/lib/R/site-library","0.9-15",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"IRanges","IRanges","/usr/local/lib/R/site-library","2.44.0",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.53.2),
S4Vectors (>= 0.47.6)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"irlba","irlba","/usr/local/lib/R/site-library","2.3.5.1",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"isoband","isoband","/usr/local/lib/R/site-library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"iterators","iterators","/usr/local/lib/R/site-library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.5.0"
"JASPAR2022","JASPAR2022","/usr/local/lib/R/site-library","0.99.8",NA,"R (>= 4.1.0), methods, BiocFileCache, utils",NA,NA,"knitr, rmarkdown, BiocStyle, TFBSTools (>= 1.31.2)",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.1"
"jpeg","jpeg","/usr/local/lib/R/site-library","0.1-11",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"jquerylib","jquerylib","/usr/local/lib/R/site-library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"jsonlite","jsonlite","/usr/local/lib/R/site-library","2.0.0",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"jsonvalidate","jsonvalidate","/usr/local/lib/R/site-library","1.5.0",NA,NA,"R6, V8",NA,"knitr, jsonlite, rmarkdown, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"KEGGREST","KEGGREST","/usr/local/lib/R/site-library","1.50.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"kernlab","kernlab","/usr/local/lib/R/site-library","0.9-33",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"knitr","knitr","/usr/local/lib/R/site-library","1.50",NA,"R (>= 3.6.0)","evaluate (>= 0.15), highr (>= 0.11), methods, tools, xfun (>=
0.51), yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, litedown, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.56), webshot, rstudioapi,
svglite",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"labeling","labeling","/usr/local/lib/R/site-library","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.5.0"
"lambda.r","lambda.r","/usr/local/lib/R/site-library","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"later","later","/usr/local/lib/R/site-library","1.4.4",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, nanonext, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"latticeExtra","latticeExtra","/usr/local/lib/R/site-library","0.6-31",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer,
interp, MASS",NA,"maps, mapproj, deldir, quantreg, zoo, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"lava","lava","/usr/local/lib/R/site-library","1.8.1",NA,"R (>= 3.0)","cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"lazyeval","lazyeval","/usr/local/lib/R/site-library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"leiden","leiden","/usr/local/lib/R/site-library","0.4.3.1",NA,NA,"methods, reticulate, Matrix, igraph (>= 1.2.7)",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
markdown, multiplex, multinet, network, qpdf, RColorBrewer,
remotes, rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"leidenbase","leidenbase","/usr/local/lib/R/site-library","0.1.35",NA,"R (>= 3.5.0)","igraph (>= 0.9.0)",NA,"rmarkdown, knitr, testthat (>= 3.1.0), pandoc",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"lgr","lgr","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 3.2.0)","R6 (>= 2.4.0)",NA,"cli, covr, crayon, data.table, desc, future, future.apply,
glue, jsonlite, knitr, rmarkdown, rotor (>= 0.3.5), rprojroot,
testthat, tibble, tools, utils, whoami, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"lhs","lhs","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.4.0)","Rcpp","Rcpp","testthat, DoE.base, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"lifecycle","lifecycle","/usr/local/lib/R/site-library","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"limma","limma","/usr/local/lib/R/site-library","3.66.0",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods, statmod",NA,"BiasedUrn, ellipse, gplots, knitr, locfit, MASS, splines,
affy, AnnotationDbi, Biobase, BiocStyle, GO.db, illuminaio,
org.Hs.eg.db, vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.5.1"
"listenv","listenv","/usr/local/lib/R/site-library","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"litedown","litedown","/usr/local/lib/R/site-library","0.7",NA,"R (>= 3.2.0)","utils, commonmark (>= 1.9.5), xfun (>= 0.52)",NA,"rbibutils, rstudioapi, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"littler","littler","/usr/local/lib/R/site-library","0.3.21",NA,NA,NA,NA,"simplermarkdown, docopt, rcmdcheck, whoami",NA,"GPL (>= 2)",NA,NA,"unix",NA,"yes","4.5.1"
"lme4","lme4","/usr/local/lib/R/site-library","1.1-37",NA,"R (>= 3.6.0), Matrix, methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
reformulas (>= 0.3.0)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix (>=
1.2-3)","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"lmtest","lmtest","/usr/local/lib/R/site-library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"locfit","locfit","/usr/local/lib/R/site-library","1.5-9.12",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"lubridate","lubridate","/usr/local/lib/R/site-library","1.9.4",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.3.0)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.6.5)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"magick","magick","/usr/local/lib/R/site-library","2.9.0",NA,"R (>= 4.1.0)","Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av, spelling, jsonlite, methods, knitr, rmarkdown, rsvg,
webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract,
gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"magrittr","magrittr","/usr/local/lib/R/site-library","2.0.4",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"markdown","markdown","/usr/local/lib/R/site-library","2.0",NA,"R (>= 2.11.1)","utils, xfun, litedown (>= 0.6)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"MAST","MAST","/usr/local/lib/R/site-library","1.36.0",NA,"SingleCellExperiment (>= 1.2.0), R(>= 3.5)","Biobase, BiocGenerics, S4Vectors, data.table, ggplot2, plyr,
stringr, abind, methods, parallel, reshape2, stats, stats4,
graphics, utils, SummarizedExperiment(>= 1.5.3), progress,
Matrix",NA,"knitr, rmarkdown, testthat, lme4(>= 1.0), blme, roxygen2(>
6.0.0), numDeriv, car, gdata, lattice, GGally, GSEABase, NMF,
TxDb.Hsapiens.UCSC.hg19.knownGene, rsvd, limma, RColorBrewer,
BiocStyle, scater, DelayedArray, HDF5Array, zinbwave, dplyr",NA,"GPL(>= 2)",NA,NA,NA,NA,"no","4.5.1"
"MatrixGenerics","MatrixGenerics","/usr/local/lib/R/site-library","1.22.0",NA,"matrixStats (>= 1.4.1)","methods",NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"MatrixModels","MatrixModels","/usr/local/lib/R/site-library","0.5-4",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0), Matrix(< 1.8-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"matrixStats","matrixStats","/usr/local/lib/R/site-library","1.5.0",NA,"R (>= 3.4.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.0"
"mclust","mclust","/usr/local/lib/R/site-library","6.1.1",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.4), rmarkdown (>= 2.10), mix (>= 1.0), geometry
(>= 0.4), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"memoise","memoise","/usr/local/lib/R/site-library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"memuse","memuse","/usr/local/lib/R/site-library","4.2-3",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"BSD 2-clause License + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"metapod","metapod","/usr/local/lib/R/site-library","1.18.0",NA,NA,"Rcpp","Rcpp","testthat, knitr, BiocStyle, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"microbenchmark","microbenchmark","/usr/local/lib/R/site-library","1.5.0",NA,"R (>= 3.2.0)","graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"mime","mime","/usr/local/lib/R/site-library","0.13",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.5.0"
"miniUI","miniUI","/usr/local/lib/R/site-library","0.1.2",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"minqa","minqa","/usr/local/lib/R/site-library","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"mirai","mirai","/usr/local/lib/R/site-library","2.5.1",NA,"R (>= 3.6)","nanonext (>= 1.7.1)",NA,"cli, litedown, otel","parallel, promises","MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"mixsqp","mixsqp","/usr/local/lib/R/site-library","0.3-54",NA,"R (>= 3.3.0)","utils, stats, irlba, Rcpp (>= 0.12.15)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"mlbench","mlbench","/usr/local/lib/R/site-library","2.1-6",NA,"R (>= 2.10)",NA,NA,"lattice",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.0"
"mlr3","mlr3","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.3.0)","R6 (>= 2.4.1), backports (>= 1.5.0), checkmate (>= 2.0.0),
cli, data.table (>= 1.15.0), evaluate (>= 1.0.4), future,
future.apply (>= 1.5.0), lgr (>= 0.3.4), mirai (>= 2.4.1),
methods, mlbench, mlr3measures (>= 1.0.0), mlr3misc (>=
0.19.0), parallelly, palmerpenguins, paradox (>= 1.0.1), uuid",NA,"callr, codetools, datasets, future.callr, mlr3data,
progressr, remotes, RhpcBLASctl, rpart, testthat (>= 3.2.0)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3cluster","mlr3cluster","/usr/local/lib/R/site-library","0.1.11",NA,"mlr3 (>= 0.21.1), R (>= 3.3.0)","backports (>= 1.1.10), checkmate (>= 2.0.0), clue, cluster,
data.table (>= 1.15.0), fpc, mlr3misc (>= 0.15.0), paradox (>=
1.0.1), R6, stats",NA,"apcluster, ClusterR (>= 1.3.1), dbscan, e1071, kernlab, LPCM,
mclust, mlbench, RWeka, stream, testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3data","mlr3data","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 3.1.0)",NA,NA,"mlr3 (>= 0.13.3)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3filters","mlr3filters","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 3.1.0)","backports, checkmate, cli, data.table, mlr3 (>= 0.12.0),
mlr3misc (>= 0.18.0), paradox, R6",NA,"Boruta, care, caret, carSurv, FSelectorRcpp, knitr, lgr,
mlr3learners, mlr3measures, mlr3pipelines, praznik, rpart,
survival, testthat (>= 3.0.0), withr",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3fselect","mlr3fselect","/usr/local/lib/R/site-library","1.4.0",NA,"mlr3 (>= 1.0.1), R (>= 3.1.0)","bbotk (>= 1.6.0), checkmate (>= 2.0.0), cli, data.table, lgr,
mlr3misc (>= 0.15.1), paradox (>= 1.0.0), R6, stabm",NA,"e1071, fastVoteR, genalg, mirai, mlr3learners, mlr3pipelines,
rpart, rush, rush (>= 0.2.0), testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3hyperband","mlr3hyperband","/usr/local/lib/R/site-library","1.0.0",NA,"mlr3tuning (>= 1.4.0), R (>= 3.1.0)","bbotk (>= 1.6.0), checkmate (>= 1.9.4), data.table, lgr, mlr3
(>= 0.13.1), mlr3misc (>= 0.10.0), paradox (>= 0.9.0), R6, uuid",NA,"emoa, mirai, mlr3learners (>= 0.5.2), mlr3pipelines, redux,
rpart, rush (>= 0.2.0), testthat (>= 3.0.0), xgboost",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3inferr","mlr3inferr","/usr/local/lib/R/site-library","0.2.0",NA,"mlr3 (>= 1.1.0), R (>= 3.1.0)","checkmate, data.table, future, lgr, mlr3measures, mlr3misc,
paradox, R6, withr",NA,"rpart, testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3learners","mlr3learners","/usr/local/lib/R/site-library","0.13.0",NA,"mlr3 (>= 1.2.0), R (>= 3.3.0)","checkmate, data.table, mlr3misc (>= 0.9.4), paradox (>=
1.0.0), R6",NA,"DiceKriging, e1071, future, glmnet, kknn, knitr, lgr, MASS,
mirai, nnet, pracma, ranger, rgenoud, rmarkdown, testthat (>=
3.0.0), xgboost (>= 1.6.0)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.0"
"mlr3mbo","mlr3mbo","/usr/local/lib/R/site-library","0.3.3",NA,"mlr3tuning (>= 1.4.0), R (>= 3.1.0)","bbotk (>= 1.6.0), checkmate (>= 2.0.0), data.table, lgr (>=
0.3.4), mlr3 (>= 0.23.0), mlr3misc (>= 0.15.1), paradox (>=
1.0.1), spacefillr, R6 (>= 2.4.1)",NA,"DiceKriging, emoa, fastGHQuad, lhs, mirai, mlr3learners (>=
0.7.0), mlr3pipelines (>= 0.5.2), nloptr, ranger, rgenoud,
rpart, redux, rush, stringi, testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.0"
"mlr3measures","mlr3measures","/usr/local/lib/R/site-library","1.1.0",NA,"R (>= 3.3.0)","checkmate, mlr3misc, PRROC",NA,"testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3misc","mlr3misc","/usr/local/lib/R/site-library","0.19.0",NA,"R (>= 3.3.0)","backports (>= 0.1.5), checkmate, cli, data.table, digest,
methods, R6",NA,"callr, evaluate, mirai, paradox, testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.0"
"mlr3pipelines","mlr3pipelines","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 3.3.0)","backports, checkmate, data.table, digest, lgr, mlr3 (>=
0.20.0), mlr3misc (>= 0.17.0), paradox (>= 1.0.0), R6, withr",NA,"ggplot2, glmnet, igraph, knitr, lme4, mlbench, bbotk (>=
0.3.0), mlr3filters (>= 0.8.1), mlr3learners, mlr3measures,
nloptr, quanteda, rmarkdown, rpart, stopwords, testthat,
visNetwork, bestNormalize, fastICA, kernlab, smotefamily,
evaluate, NMF, MASS, GenSA, methods, vtreat, future,
htmlwidgets, ranger, themis",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3tuning","mlr3tuning","/usr/local/lib/R/site-library","1.4.0",NA,"mlr3 (>= 0.23.0), paradox (>= 1.0.1), R (>= 3.1.0)","bbotk (>= 1.6.0), checkmate (>= 2.0.0), cli, data.table, lgr,
mlr3misc (>= 0.15.1), R6",NA,"adagio, future, GenSA, irace (>= 4.1.0), knitr, mirai,
mlflow, mlr3learners (>= 0.7.0), mlr3pipelines (>= 0.5.2),
nloptr, rush, rmarkdown, rpart, testthat (>= 3.0.0), xgboost",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3tuningspaces","mlr3tuningspaces","/usr/local/lib/R/site-library","0.6.0",NA,"mlr3tuning (>= 0.15.0), R (>= 3.1.0)","cli, checkmate (>= 2.0.0), data.table (>= 1.14.0), mlr3 (>=
0.11.0), mlr3misc (>= 0.11.0), paradox (>= 0.7.1), R6 (>=
2.5.0)",NA,"e1071 (>= 1.7-6), bbotk, glmnet (>= 4.1-2), mlr3learners (>=
0.4.5), mlr3pipelines, ranger (>= 0.12.1), rpart (>= 4.1-15),
testthat (>= 3.0.0), xgboost (>= 1.4.1.1)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3verse","mlr3verse","/usr/local/lib/R/site-library","0.3.1",NA,"mlr3 (>= 0.20.0), R (>= 3.1.0)","bbotk (>= 1.5.0), data.table, mlr3cluster (>= 0.1.10),
mlr3data (>= 0.9.0), mlr3filters (>= 0.8.1), mlr3fselect (>=
1.2.1), mlr3hyperband (>= 0.6.0), mlr3inferr (>= 0.1.0),
mlr3learners (>= 0.9.0), mlr3mbo (>= 0.2.8), mlr3misc (>=
0.16.0), mlr3pipelines (>= 0.7.1), mlr3tuning (>= 1.3.0),
mlr3tuningspaces (>= 0.5.2), mlr3viz (>= 0.10.0), paradox (>=
1.0.1)",NA,"miesmuschel, mlr3batchmark, mlr3benchmark, mlr3db,
mlr3fairness, mlr3fda, mlr3oml, mlr3proba (>= 0.7.4),
mlr3spatial, mlr3spatiotempcv, mlr3summary, mlr3torch, rush",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"mlr3viz","mlr3viz","/usr/local/lib/R/site-library","0.10.1",NA,"R (>= 3.1.0)","checkmate, data.table, ggplot2 (>= 3.3.0), mlr3misc (>=
0.7.0), scales, utils, viridis",NA,"bbotk (>= 1.0.0), cluster, GGally, ggdendro, ggfortify (>=
0.4.11), ggparty, glmnet, knitr, lgr, mlr3 (>= 0.6.0),
mlr3cluster, mlr3filters, mlr3fselect (>= 1.3.0), mlr3inferr,
mlr3learners, mlr3tuning (>= 1.0.0), paradox, partykit,
patchwork (>= 1.1.1), precrec, ranger, rpart, stats, testthat
(>= 3.0.0), vdiffr (>= 1.0.2), xgboost, survminer, mlr3proba
(>= 0.6.3)",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.0"
"modeldata","modeldata","/usr/local/lib/R/site-library","1.5.1",NA,"R (>= 4.1)","cli, dplyr, MASS, purrr, rlang (>= 1.1.0), tibble",NA,"covr, ggplot2, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
